zipcode,unemployment rate,median household income,white,black,hispanic,asian,poverty rate,total population,white rate,black rate,hispanic rate,asian rate,average family size
60002,4.8,76694,21217,540,1504,337,8.7,24217,87.61200809,2.229838543,6.210513276,1.391584424,3.14
60004,2.6,90000,41190,508,3949,4497,4.8,50941,80.85824778,0.997232092,7.752105377,8.827859681,3.08
60005,3.5,78053,22981,843,3413,2665,7.2,30148,76.22727876,2.796205387,11.3208173,8.839724028,3.12
60007,3.9,73026,25369,338,3686,3725,4.6,33691,75.29904129,1.003235285,10.94060728,11.0563652,3.11
60008,4.1,63358,13375,978,5434,1794,8.2,21930,60.98951208,4.459644323,24.77884177,8.180574555,3.28
60010,2.4,130748,37673,359,1950,5180,4.1,45680,82.47154116,0.785901926,4.26882662,11.33975482,3.16
60012,2.9,128844,9645,45,523,265,2.6,10653,90.53787665,0.422416221,4.909415188,2.487562189,3.06
60013,3.7,98459,23040,455,1543,689,6.9,26166,88.05319881,1.738897806,5.896965528,2.633188107,3.28
60014,3.3,84478,39986,683,6073,1165,6.2,48553,82.35536424,1.406710193,12.50798097,2.399439787,3.23
60015,4,141268,23974,241,873,1902,3.6,27357,87.63387798,0.880944548,3.191139379,6.952516723,3.19
60016,3.2,63829,33335,2544,8152,14106,9.7,59255,56.25685596,4.293308582,13.75748882,23.80558603,3.22
60018,3.8,59758,15474,661,11322,3040,14.2,30955,49.98869326,2.135357777,36.57567437,9.820707479,3.65
60020,5.2,54026,8568,112,794,222,9.3,9761,87.77789161,1.14742342,8.134412458,2.274357136,2.96
60021,6.2,101182,4630,0,687,97,8.6,5547,83.46854155,0,12.38507301,1.748692987,3.16
60022,0.8,204118,7636,162,441,305,3.2,8563,89.17435478,1.891860329,5.15006423,3.561835805,3.21
60025,2.7,92410,31336,531,3097,5310,5.4,41054,76.32873776,1.293418425,7.543722902,12.93418425,3.35
60026,1.6,106283,9706,164,996,3126,4.4,14297,67.88836819,1.147093796,6.966496468,21.86472687,3.36
60029,1.4,167813,427,2,46,46,2.1,521,81.95777351,0.383877159,8.829174664,8.829174664,3.58
60030,4.1,83680,28681,929,4554,2095,6,37185,77.1305634,2.498319215,12.24687374,5.633992201,3.21
60031,4,87828,24286,2675,4947,4159,5.6,37525,64.71952032,7.128580946,13.18321119,11.08327781,3.28
60033,6.6,56329,8380,20,5042,0,13.2,13596,61.63577523,0.147102089,37.0844366,0,3.4
60034,4.4,59732,1766,23,248,8,7.9,2084,84.74088292,1.103646833,11.90019194,0.383877159,3.19
60035,2.9,137413,25587,440,2492,811,6.5,29803,85.85377311,1.47636144,8.361574338,2.721202564,3.03
60040,1.8,55427,2516,138,2575,131,17.4,5375,46.80930233,2.56744186,47.90697674,2.437209302,3.49
60041,5.2,61023,7390,31,1101,80,7.1,8772,84.24532604,0.353397173,12.55129959,0.911992704,3.04
60042,3.7,73257,7155,49,950,114,6.1,8390,85.28009535,0.584028605,11.32300358,1.358760429,2.98
60043,3.4,203750,2334,16,72,92,2.5,2547,91.63722026,0.628190027,2.826855124,3.612092658,3.49
60044,3.6,105331,7971,124,687,863,4.2,9849,80.93207432,1.259011067,6.975327444,8.762310895,3.19
60045,2.4,176108,17928,336,804,1394,3,20807,86.16331042,1.614841159,3.864084202,6.699668381,3.16
